,Location,hostname,interface,hostname.1,interface.1
309,SINGAPORE2,SI2-T1A-SVQX-HCR01,STM1_1/2/1,JK-T1A-RT01,POS1/1/0
310,NEW YORK,NY-T1A-RT01,GIGABITETHERNET3/1/0,NY-T1A-CR02,GIGABITETHERNET3/1
311,SINGAPORE,SI-T1A-SVWX-HCR02,TE_1/1/13,SI2-T1A-SVQX-HCR02,TE_1/1/14
312,LONDON,LN-T1A-L78X-HCR02,TE_5/2/1,LN-T1A-HCR01,TE_2/1/14
313,JAKARTA,JK-T1A-ACGKA-ACN-RT01,GIGABITETHERNET0/1/0,JK-T1A-ACGKA-ACN-RT02,GIGABITETHERNET0/1/0
314,LOS ANGELES,LA-T1A-27GX-HPE01,GE_1/1/1,LA-T1A-CR01,GIGABITETHERNET3/3
315,GABORONE,GAB-T1A-7B6X-HRT01,GE_1/7/3,HAR-T1A-HRT01,GE_1/7/3
316,NEW YORK,NY-T1A-RT01,GIGABITETHERNET3/1/2,NY-T1A-CR03,GIGABITETHERNET3/1
317,NARITA,NAR-T1A-ANRT1X-ACN-RT01,GIGABITETHERNET0/1/0,NAR-T1A-ANRT1X-ACN-RT02,GIGABITETHERNET0/1/0
318,CAPE TOWN,CAP-T1A-RT01,GIGABITETHERNET0/1,CAP-T1A-RT02,GIGABITETHERNET0/1
319,NEW JERSEY,NJ-T1A-NJYX-HCR01,TE_5/1/4:541,SEA-T1A-00SX-HPE01,TE_5/1/14:541
320,SINGAPORE2,SI2-T1A-SVQX-HCR02,GE_1/1/1,KL-T1A-KVDX-HRT01,GE_1/1/6
321,LOS ANGELES,LA-T1A-CR01,TENGIGABITETHERNET2/1,SC-T1A-CR03,TENGIGABITETHERNET2/1
322,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/6,DHA-T1A-RT01,GIGABITETHERNET1/0/1
323,TOKYO,TK-T1A-T0VX-HCR02,TE_1/1/14,TK-T1A-T0VX-HPE02,TE_5/1/13
324,SANTA CLARA,SC-T1A-CR03,GIGABITETHERNET3/12,SC-T1A-S99X-HPE01,GE_1/1/11
325,STOCKHOLM,STO-T1A-STKX-HRT02,GE_2/1/43,STO-T1A-RT04,GIGABITETHERNET1/0/1
326,HONGKONG2,HK2-T1A-KTHX-HRT01,TE_5/1/13,SI2-T1A-SVQX-HCR01,TE_5/2/3
327,JOHANNESBURG2,JOB2-T1A-JHBX-HRT01,GE_5/1/4,NAM-T1A-XTNX-HRT01,GE_1/10/1
328,DHAKA,DHA-T1A-AD8X-RT99,GIGABITETHERNET1/0/0,DHA-T1A-RT01,GIGABITETHERNET0/0/2
329,HIGH BRIDGE,HBG-T1A-HB9X-HRT01,TE_2/2/4,HBG-T1A-HB9X-HRT02,TE_5/1/13
330,DUBAI,DU-T1A-RT01,POS9/0/0,FUJ-T1A-HRT01,STM4_5/1/11
331,HONGKONG2,HK2-T1A-KTHX-HRT01,TE_1/1/13,HK2-T1A-RT01,TENGIGABITETHERNET8/2
332,LONDON,LN-T1A-HCR01,TE_4/1/1,HEL2-T1A-HRT01,TE_2/1/13
333,PERTH,PER-T1A-H9UX-HRT01,GE_5/1/10,SI-T1A-HCR01,GE_2/1/10
334,MANILA,MLA-T1A-P98X-HRT01,GE_2/1/9,MLA-T1A-P98X-RT03,GIGABITETHERNET0/0/1
335,HONGKONG,HK-T1A-RT08-PE,GIGABITETHERNET1/0/2,HK-T1A-CR02,GIGABITETHERNET7/0/2
336,SYDNEY2,SY2-T1A-0PPX-HRT01,GE_1/1/11,SY-T1A-1MHX-HRT02,GE_1/1/3
337,NEW YORK,NY-T1A-N99X-HCR01,TE_5/1/14,NY-T1A-N99X-HPE02,TE_1/1/13
338,DOHA2,DOH2-T1A-UN4X-HRT01,STM4_1/2/9,DOH-T1A-RT01,POS0/2/0
339,HONGKONG2,HK2-T1A-KTHX-HRT01,TE_1/1/14,HK2-T1A-KTHX-HRT02,TE_1/1/13
340,FRANKFURT,FFT-T1A-FNM-HCR01,TE_3/1/14,FFT-T1A-FNM-HPE01,TE_2/1/13
341,ISTANBUL,IST-T1A-RT01,GIGABITETHERNET3/0/2,FFT-T1A-FNM-HCR01,GE_2/1/5
342,NEW YORK,NY-T1A-CR03,GIGABITETHERNET3/16,NY-T1A-N99X-HPE02,GE_10/1/11
343,LONDON,LN-T1A-HCR01,TE_2/1/13,LN-T1A-L78X-HPE01,TE_1/1/13
344,HELSINKI,HEL1-T1A-HRT01,GE_4/1/7,HEL2-T1A-HRT01,GE_4/1/6
345,SINGAPORE2,SI2-T1A-SVQX-HCR01,GE_1/1/4,SI2-T1A-RT02,GIGABITETHERNET7/3
346,NEW YORK,NY-T1A-N99X-HPE01,TE_10/1/13,NY-T1A-N99X-HPE02,TE_10/1/13
347,MAURITIUS,MAU-T1A-RT02,GIGABITETHERNET1/0/0,MAU-T1A-RT01,GIGABITETHERNET1/0/0
348,PARIS,PAR-T1A-P96X-HCR02,GE_1/1/1,PAR-T1A-RT03,GIGABITETHERNET2/1/3
349,SINGAPORE2,SI2-T1A-SVQX-HCR01,TE_5/2/4,SI2-T1A-SVQX-HPE02,TE_1/1/13
350,LONDON,LN-T1A-L78X-HCR02,TE_2/2/4,LN-T1A-HCR01,TE_4/1/2
351,TOKYO,TK-T1A-T0VX-HCR02,TE_1/1/13,EMI-T1A-CR01,TENGIGABITETHERNET7/1
352,NEW JERSEY,NJ-T1A-NJYX-HCR01,GE_1/1/10,NJ-T1A-NJYX-CR02,GIGABITETHERNET7/0/2
353,LONDON,LN-T1A-L78X-HCR02,TE_2/2/2,AM-T1A-A99X-HRT01,TE_1/1/13
354,TORONTO,TOR-T1A-T6UX-HRT01,GE_1/1/11,TOR-T1A-RT01,GE-3/1/0.0
355,TORONTO,TOR-T1A-T6UX-HRT01,GE_1/1/5,TOR-T1A-T6UX-RT02,GIGABITETHERNET0/0/0
356,MANILA,MLA-T1A-P98X-HRT02,TE_1/1/13,MLA-T1A-P98X-HRT01,TE_1/1/13
357,NEW YORK,NY-T1A-N99X-HCR01,GE_5/1/3,NY-T1A-RT02,GIGABITETHERNET1/10
358,MANCHESTER,MAN-T1A-UKUX-HRT01,GE_1/1/6,AM-T1A-HRT03,GE_1/1/6
359,STOCKHOLM,STO-T1A-STKX-HRT01,GE_1/7/5,STO-T1A-STKX-HRT02,GE_2/1/41
360,CAPE TOWN,CAP-T1A-ACPTA-ACN-RT01,GIGABITETHERNET0/0/1,CAP-T1A-ACPTA-ACN-RT02,GIGABITETHERNET0/0/1
361,HONGKONG,HK-T1A-H99X-HCR01,TE_1/1/13,HK-T1A-CR02,TENGIGABITETHERNET3/1
